latitude,longitude,presence
42.4591916667,-72.3865766667,0
41.6364216667,-70.3403633333,0
42.6651109132,-73.2562814016,1
42.5570602417,-71.6746520996,1
42.4786495221,-71.3484590115,0
42.0825651911,-70.6744237809,0
42.2819377073,-72.3928658074,1
42.7226678739,-70.865301828,1
42.4163700291,-71.7442981712,0
42.5852235394,-72.2099650452,1
42.6617902837,-71.7003214204,1
42.4150283333,-72.744575,1
42.3491383333,-73.0151138833,1
42.0729851389,-70.7927215,0
41.5548632348,-70.6488829079,0
42.7717783333,-71.0869833333,0
42.6043740111,-71.6174822738,1
42.17018403,-72.62996505,0
42.4565607207,-70.972581245,0
42.5708383333,-72.3987583333,1
42.0716726664,-73.1301061013,1
42.52713,-72.3368916667,0
42.8485271978,-70.9199889031,0
42.2263865542,-71.0528593068,0
41.930088813,-70.0325015187,0
42.03898333,-70.917105,0
41.6222486123,-70.5591479568,0
42.6589116455,-70.9222880658,0
41.6501666667,-70.2244111111,0
42.657695,-71.6647716667,0
42.0088666667,-70.0717,0
42.0659360583,-71.9474446962,0
42.2983383333,-71.1409,0
42.4350349443,-71.0411619768,0
42.4756077909,-71.9190704316,1
41.85683,-70.5310216667,0
42.6339783815,-70.9203684123,0
42.3736541139,-70.9727149923,0
42.4264526111,-71.533432,1
41.5961112976,-70.5791702271,0
42.1594440099,-71.2140896917,0
41.3546769905,-70.8109360164,0
42.5599472222,-72.5825277778,0
41.7257545286,-70.6598382639,0
41.9536133333,-70.7901833333,0
42.3202833333,-70.9257283333,0
41.933525,-69.9786,0
42.6837566667,-72.1720533333,0
42.277443697,-71.9581184513,1
42.1297211682,-72.4546709741,1
42.3789990222,-71.6483287417,1
42.1483453378,-72.0806782503,1
42.1707722222,-71.0601583333,0
42.5943995687,-71.5533353476,1
42.5017602528,-72.8149916545,0
42.4066866667,-71.654205,1
42.2163373552,-71.7154423323,0
41.729625,-71.1679216667,0
42.36295,-71.0817195,0
42.5906827441,-71.0354627018,0
42.1841222222,-73.2365027778,1
42.494292534,-71.7480505352,0
42.244701994,-71.3812584261,0
42.3891926327,-71.1863662239,0
42.2766908918,-72.2633396035,1
42.574302902,-72.7310452258,0
42.6773638004,-70.6214840075,0
42.2065666667,-71.1209195,0
42.6041183333,-71.61735,1
42.66187582,-73.16486564,0
42.2729089722,-71.710531,0
42.0780283213,-73.140912796,0
42.48767,-73.1136416667,0
42.343577976,-71.4385065636,0
42.335495,-71.7874916667,0
42.64178,-70.592395,0
42.5023453922,-71.210170997,0
42.629975,-71.3938833333,0
42.3168533333,-71.0351555,0
42.2147366667,-71.20137,0
42.2335658713,-70.9136639783,0
41.615077538,-70.4810356184,0
42.4006893014,-71.0805234059,0
42.3830116728,-72.5513616667,1
42.5995333333,-71.535295,0
42.6960133333,-71.88704,0
42.670508433,-72.5378421675,0
42.2833713132,-71.9521839917,1
42.6741533333,-71.707725,0
42.6139144897,-72.0787124634,0
42.4927386381,-71.3682409447,1
42.4194461631,-71.1498869079,0
42.493568416,-71.4248425886,1
