observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
27591366,2019-06-22,41.5134896654,-70.9995602652,51.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/27591366
27875012,2019-06-01,41.653195,-70.1973716667,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/27875012
29745461,2019-07-26,42.40667,-71.4528666667,32.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/29745461
30550912,2019-08-10,41.6746248799,-70.062990692,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/30550912
31451231,2015-06-08,42.7632722,-70.8045899,186.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/31451231
31590916,2019-08-06,42.4146220122,-71.4756690709,248.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/31590916
34066476,2019-10-08,42.219790821,-71.4608325531,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/34066476
34118815,2019-10-08,42.216307282,-71.4625470732,230.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/34118815
34392446,2019-10-14,42.1915601672,-71.5136827533,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/34392446
35212749,2019-11-02,42.0240970344,-70.872619162,122.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/35212749
36421200,2019-12-05,42.6296783333,-70.662405,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/36421200
37227289,2019-06-26,42.414771396,-71.560162265,107.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/37227289
37716537,2020-01-18,42.4833216667,-72.3297,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/37716537
37947894,2020-01-25,42.487545,-71.47898,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/37947894
38011374,2002-12-04,42.375883746,-72.238954316,61.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/38011374
38011450,2020-01-26,42.4121240985,-71.4647349933,178.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/38011450
38132498,2020-01-30,42.0685514122,-70.6799299126,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/38132498
38720199,2020-02-16,42.2139837966,-71.4836014901,10.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/38720199
40670157,2018-07-13,42.086517632,-70.6782294219,56.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/40670157
40903503,2020-02-25,42.647105,-70.61321333,16.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/40903503
41027877,2020-03-26,42.7212934518,-71.0243979544,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/41027877
41042538,2020-03-18,42.7217601508,-71.0245938058,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/41042538
41046974,2020-03-08,42.7203765683,-71.0232993594,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/41046974
43715245,2020-04-26,42.6056290488,-71.6159874479,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/43715245
44909792,2020-05-03,41.5174413501,-70.6579447165,14.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/44909792
45811846,2020-05-13,42.4130833755,-71.4573277441,10.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/45811846
46561628,2020-05-19,42.0680348509,-71.1523120116,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/46561628
46991125,2020-05-23,41.7685,-69.97876167,60.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/46991125
47498121,2020-05-23,42.2174538,-70.7898681,186.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/47498121
49915003,2020-06-16,42.0680722855,-71.1523722161,10.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/49915003
50895650,2019-11-16,42.2868128193,-72.6416812321,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/50895650
52266491,2020-07-07,41.4423290074,-70.5538580876,128.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/52266491
55110852,2020-06-18,42.4583505908,-71.9429832575,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/55110852
61502754,2019-12-18,42.0926598523,-72.1645191716,209.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/61502754
62150645,2020-10-09,42.62722167,-70.91843,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/62150645
62265590,2020-10-10,42.63568833,-70.92016667,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/62265590
62412313,2020-10-11,42.6363625792,-70.9159311607,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/62412313
63745184,2020-10-28,42.3901075253,-71.5766491763,79.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/63745184
64366923,2020-11-06,42.6381705673,-70.9202211723,10.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/64366923
64743020,2020-11-12,42.52432,-72.33538,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/64743020
64850382,2020-11-14,42.514025,-71.4986416667,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/64850382
65553358,2020-11-12,42.565496,-71.571387,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/65553358
65716761,2020-11-27,41.7009222222,-71.0286277778,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/65716761
65969786,2020-12-01,42.4038191751,-71.2941158072,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/65969786
66011932,2020-12-02,42.146017,-72.590709,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/66011932
66055828,2016-09-11,41.4180779139,-70.5626446903,19.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/66055828
66426995,2020-12-11,42.6128972222,-71.5541833333,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/66426995
66611075,2020-12-13,42.0217353848,-70.8789206595,50.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/66611075
67594629,2020-12-27,41.8121148143,-69.9572874895,18.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/67594629
68128287,2021-01-07,42.720495,-71.0261,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/68128287
68376881,2021-01-20,42.082137579,-71.2127691414,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/68376881
68421448,2021-01-21,42.0829396037,-71.2106847604,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/68421448
68861167,2021-01-31,41.36427059,-70.51048979,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/68861167
68943743,2021-01-18,42.4926290391,-71.367700181,36.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/68943743
68945597,2020-12-17,42.4963945903,-71.3659406518,17.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/68945597
69029589,2020-03-27,42.495716602,-71.366348066,22.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/69029589
69136159,2020-10-03,41.3298044571,-70.3041220577,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/69136159
69595462,2020-12-16,42.5953588781,-71.4664614341,135.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/69595462
69816237,2021-02-17,41.8807509241,-70.0016504839,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/69816237
69903255,2021-02-20,41.9260883333,-70.6137166667,12.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/69903255
70367599,2021-02-28,42.7769801006,-70.9570905372,25.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/70367599
71434388,2009-03-03,42.6837606481,-70.8269724995,36.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/71434388
71507413,2021-03-18,42.3639543341,-71.988915405,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/71507413
73528661,2021-04-10,42.41657,-71.5605083333,45.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/73528661
73552077,2021-04-07,42.4625553379,-71.6424257493,71.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/73552077
75671094,2021-04-29,42.3004400841,-72.2398205101,2.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/75671094
76964013,2021-04-27,42.48411,-71.504832,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/76964013
77372949,2021-03-18,42.4659672065,-71.4118370144,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/77372949
77372960,2021-03-16,42.4569154597,-71.6517789536,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/77372960
77843101,2021-05-07,42.3624666667,-71.3768361111,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/77843101
77945843,2021-05-08,41.3414222222,-70.7204333333,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/77945843
79434960,2021-05-19,42.0666431722,-70.1943916082,188.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/79434960
79502697,2021-05-16,42.0318243392,-70.0912098333,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/79502697
79862763,2021-05-22,42.8159416728,-70.96208,20.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/79862763
81499755,2021-06-03,42.6603169253,-70.599974795,33.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/81499755
81878976,2021-05-28,42.7652569266,-70.9588024402,122.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/81878976
83686228,2021-06-19,42.81567,-70.95768,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/83686228
88021288,2021-07-20,41.6224333333,-70.5404361111,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/88021288
90465250,2021-06-03,41.631205,-70.57927,10.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/90465250
91591792,2021-08-17,41.680835107,-70.1059067052,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/91591792
94143989,2021-02-28,42.68883,-70.6312633333,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/94143989
97995069,2021-10-12,42.5099137529,-71.4736706103,24.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/97995069
101731968,2021-11-22,42.8040283333,-70.9729616667,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/101731968
102843125,2021-12-10,42.3970383333,-71.5152133333,4.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/102843125
103258736,2021-12-18,42.4145147956,-71.9661037977,81.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/103258736
103448296,2021-12-21,41.84423,-70.540475,4.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/103448296
103534351,2021-12-23,42.6700966667,-72.5377416667,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/103534351
