observation_id,taxon_id,taxon_name,common_name,latitude,longitude,positional_accuracy,observed_on,coordinates_obscured
367516,41663,Procyon lotor,Common Raccoon,42.15959912,-72.6287104,8.0,2013-08-16,False
367517,46095,Marmota monax,Groundhog,42.16855127,-72.62989629,9.0,2013-08-16,False
367519,46217,Tamias striatus,Eastern Chipmunk,42.16974519,-72.6299248,8.0,2013-08-16,False
367520,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.16986288,-72.62998166,13.0,2013-08-16,False
367523,43794,Castor canadensis,American Beaver,42.17018403,-72.62996505,9.0,2013-08-16,False
367524,45763,Ondatra zibethicus,Muskrat,42.16989486,-72.62998499,9.0,2013-08-16,False
368378,43111,Sylvilagus floridanus,Eastern Cottontail,42.68197485,-72.47279778,5.0,2013-08-17,False
368382,1264431,Neogale frenata,Long-tailed Weasel,42.68243772,-72.47246699,10.0,2013-08-17,False
368385,44349,Peromyscus,North American Deer Mice,42.68191211,-72.4723033,17.0,2013-08-17,False
368390,41638,Ursus americanus,American Black Bear,42.56789977,-72.53642251,10.0,2013-08-17,False
368391,453109,Pekania pennanti,Fisher,42.56917,-72.53373006,8.0,2013-08-17,False
368392,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.56914673,-72.53391395,7.0,2013-08-17,False
368393,44349,Peromyscus,North American Deer Mice,42.5690896,-72.53369253,8.0,2013-08-17,False
368394,1264427,Mustela richardsonii,American Ermine,42.56917129,-72.53417616,9.0,2013-08-17,False
368398,63113,Blarina brevicauda,Northern Short-tailed Shrew,42.56836611,-72.53551541,8.0,2013-08-17,False
370300,43111,Sylvilagus floridanus,Eastern Cottontail,42.4277966667,-71.228125,,2013-08-19,False
370576,41663,Procyon lotor,Common Raccoon,42.732695,-70.787771,389.0,2013-08-19,False
370917,41566,Megaptera novaeangliae,Humpback Whale,42.358508031,-70.8912360507,3205.0,2013-06-06,True
372020,46217,Tamias striatus,Eastern Chipmunk,42.403055,-71.1882883333,,2013-08-21,False
372038,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.403055,-71.1882883333,,2013-08-21,False
374594,43111,Sylvilagus floridanus,Eastern Cottontail,42.3871166667,-71.1471216667,,2013-08-23,False
378697,43111,Sylvilagus floridanus,Eastern Cottontail,42.38788,-71.1473216667,,2013-08-26,False
381681,41733,Halichoerus grypus,Grey Seal,41.786501,-69.933321,255.0,2013-06-05,False
382864,42223,Odocoileus virginianus,White-tailed Deer,42.407345,-71.3317866667,,2013-08-30,False
385889,42223,Odocoileus virginianus,White-tailed Deer,42.680487,-72.982392,,2013-08-31,False
386949,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3878416667,-71.1480966667,,2013-09-03,False
386969,46217,Tamias striatus,Eastern Chipmunk,42.3878416667,-71.1480966667,,2013-09-03,False
387652,41526,Delphinus delphis,Common Dolphin,42.008081,-70.556946,,2012-09-13,False
388155,46260,Tamiasciurus hudsonicus,American Red Squirrel,41.882305,-69.9960283333,,2013-09-04,False
388156,46217,Tamias striatus,Eastern Chipmunk,41.882305,-69.9960283333,,2013-09-04,False
388161,46260,Tamiasciurus hudsonicus,American Red Squirrel,41.882305,-69.9960283333,,2013-09-04,False
388168,43096,Sylvilagus,Cottontail Rabbits,41.882305,-69.9960283333,,2013-09-04,False
388888,46217,Tamias striatus,Eastern Chipmunk,42.0667533333,-70.1938083333,,2013-09-05,False
388889,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.0667533333,-70.1938083333,,2013-09-05,False
390940,42069,Vulpes vulpes,Red Fox,42.074126,-70.20659,5.0,2013-09-07,False
390941,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.075163,-70.209232,5.0,2013-09-07,False
393510,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3889916667,-71.133925,,2013-09-10,False
401612,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3893283333,-71.1347666667,,2013-09-18,False
437889,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.389945,-71.1354583333,,2013-10-24,False
444161,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3895,-71.13527,,2013-10-30,False
449811,43132,Lepus americanus,Snowshoe Hare,42.570007,-72.53588,12.0,2013-11-06,False
449812,43111,Sylvilagus floridanus,Eastern Cottontail,42.570114,-72.535563,10.0,2013-11-06,False
449814,42051,Canis latrans,Coyote,42.570049,-72.53805,4.0,2013-11-06,False
461649,41976,Lynx rufus,Bobcat,42.681572,-72.471963,25.0,2012-04-19,False
461658,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.681229,-72.471775,75.0,2012-04-04,False
461663,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.571461,-72.53706,14.0,2012-04-04,False
461666,41777,Lontra canadensis,North American River Otter,42.519672,-72.304158,42.0,2013-09-18,False
465995,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.376551,-71.120381,48.0,2008-07-29,False
479398,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.387255,-71.1242383333,,2013-12-10,False
483251,41708,Phoca vitulina,Harbor Seal,42.745006,-70.79713,6536.0,2013-12-08,False
487915,522193,Alces alces,Moose,42.499504,-72.277272,50.0,2013-12-19,False
496332,522193,Alces alces,Moose,42.4742927308,-72.2811203928,50.0,2013-12-19,True
502315,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.377003,-71.11666,2326.0,2013-08-01,False
527891,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.214102,-71.223879,,2014-02-10,False
545992,711289,Halichoerus grypus atlantica,Atlantic Grey Seal,41.916074,-70.073633,395.0,2011-07-30,False
551962,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3752466667,-71.1183166667,,2014-02-23,False
560228,43111,Sylvilagus floridanus,Eastern Cottontail,42.391875,-70.990807,,2014-03-07,False
564644,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.38447,-71.1496866667,,2014-03-12,False
564661,46217,Tamias striatus,Eastern Chipmunk,42.38447,-71.1496866667,,2014-03-12,False
596634,46217,Tamias striatus,Eastern Chipmunk,42.4783283333,-71.3274633333,,2014-03-29,False
596635,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.479246,-71.323301,48.0,2014-03-29,False
610514,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3952366667,-71.15673,,2014-04-06,False
610517,45763,Ondatra zibethicus,Muskrat,42.3952366667,-71.15673,,2014-04-06,False
637917,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3872166667,-71.1476283333,,2014-04-22,False
646981,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3718583333,-71.144705,,2014-04-28,False
648411,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.395175,-71.1566866667,,2014-04-29,False
652507,42223,Odocoileus virginianus,White-tailed Deer,42.593792,-70.970283,462.0,2014-04-30,False
656589,43111,Sylvilagus floridanus,Eastern Cottontail,42.360499,-71.09269,10.0,2014-05-03,False
659504,41777,Lontra canadensis,North American River Otter,42.196731,-71.1045,5.0,2014-05-04,False
661115,46217,Tamias striatus,Eastern Chipmunk,42.37183,-71.14495,,2014-05-05,False
661122,46217,Tamias striatus,Eastern Chipmunk,42.37183,-71.14495,,2014-05-05,False
661123,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.37183,-71.14495,,2014-05-05,False
663741,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.4340383333,-71.13985,,2014-05-06,False
665545,43111,Sylvilagus floridanus,Eastern Cottontail,42.3714466667,-71.1452133333,,2014-05-07,False
665547,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3714466667,-71.1452133333,,2014-05-07,False
667776,41663,Procyon lotor,Common Raccoon,42.4772083333,-71.3320133333,,2014-05-08,False
667794,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.4772083333,-71.3320133333,,2014-05-08,False
672053,46217,Tamias striatus,Eastern Chipmunk,42.371125,-71.1449883333,,2014-05-11,False
673996,118552,Felis catus,Domestic Cat,42.42147,-70.9139716667,,2014-05-12,False
674006,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.42147,-70.9139716667,,2014-05-12,False
675893,46217,Tamias striatus,Eastern Chipmunk,42.3736083333,-71.1458133333,,2014-05-13,False
676946,43111,Sylvilagus floridanus,Eastern Cottontail,42.3723083333,-71.1443383333,,2014-05-14,False
676971,41663,Procyon lotor,Common Raccoon,42.3723083333,-71.1443383333,,2014-05-14,False
676978,46217,Tamias striatus,Eastern Chipmunk,42.3723083333,-71.1443383333,,2014-05-14,False
676981,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3723083333,-71.1443383333,,2014-05-14,False
678161,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3700166667,-71.144155,,2014-05-15,False
678166,42051,Canis latrans,Coyote,42.3700166667,-71.144155,,2014-05-15,False
720829,43111,Sylvilagus floridanus,Eastern Cottontail,42.3950166667,-71.1553333333,,2014-06-06,False
736821,46217,Tamias striatus,Eastern Chipmunk,42.2875077204,-72.5018285766,10.0,2014-06-14,True
739581,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.397025,-71.1511333333,,2014-06-16,False
740556,43794,Castor canadensis,American Beaver,42.3579363889,-73.1973813889,,2014-06-14,False
743107,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3880633333,-71.1483166667,,2014-06-18,False
743112,43111,Sylvilagus floridanus,Eastern Cottontail,42.3880633333,-71.1483166667,,2014-06-18,False
760286,46217,Tamias striatus,Eastern Chipmunk,42.642295,-70.913225,,2014-06-29,False
762210,45763,Ondatra zibethicus,Muskrat,42.3954333333,-71.15677,,2014-06-30,False
762221,43111,Sylvilagus floridanus,Eastern Cottontail,42.3954333333,-71.15677,,2014-06-30,False
762598,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.4014866667,-71.19843,,2014-07-01,False
767725,46217,Tamias striatus,Eastern Chipmunk,42.681883,-72.471914,50.0,2014-06-23,False
767736,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.68197,-72.471946,50.0,2014-06-23,False
773424,46217,Tamias striatus,Eastern Chipmunk,42.4770283333,-71.3316166667,,2014-07-07,False
777018,43111,Sylvilagus floridanus,Eastern Cottontail,42.6456666667,-71.1355,,2014-05-29,False
788518,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3952333333,-71.1567083333,,2014-07-17,False
788529,43111,Sylvilagus floridanus,Eastern Cottontail,42.4293116667,-71.2255916667,,2014-07-17,False
800485,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3953333333,-71.15673,,2014-07-24,False
802532,41638,Ursus americanus,American Black Bear,42.527027,-71.631681,,2014-06-20,False
807614,46017,Sciurus carolinensis,Eastern Gray Squirrel,41.5495267374,-70.4817550892,22.0,2014-07-29,True
816666,42051,Canis latrans,Coyote,41.524572,-70.660023,12.0,2014-06-26,False
816798,42051,Canis latrans,Coyote,41.51684,-70.677366,12.0,2014-04-18,False
817243,41733,Halichoerus grypus,Grey Seal,41.500947,-70.701882,165.0,2013-08-01,False
817294,41708,Phoca vitulina,Harbor Seal,41.501121,-70.702,298.0,2004-09-30,False
818050,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.47705,-71.3316366667,,2014-08-05,False
818476,42652,Didelphis virginiana,Virginia Opossum,41.525676,-70.671315,12.0,2013-08-17,False
818747,42051,Canis latrans,Coyote,41.527857,-70.658264,12.0,2006-04-18,False
820795,1264432,Neogale vison,American Mink,41.551129,-70.631983,89.0,2014-08-06,False
822211,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.294004,-71.43219,266.0,2014-07-23,False
828184,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.397645,-71.153775,,2014-08-12,False
834151,46095,Marmota monax,Groundhog,42.480625,-71.1637966667,,2014-08-16,False
834155,46095,Marmota monax,Groundhog,42.480625,-71.1637966667,,2014-08-16,False
834156,46217,Tamias striatus,Eastern Chipmunk,42.480625,-71.1637966667,,2014-08-16,False
836608,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.2068874041,-71.2785071401,102638.0,2014-08-16,True
836818,46217,Tamias striatus,Eastern Chipmunk,42.6302,-70.9197783333,,2014-08-18,False
845223,41880,Mephitis mephitis,Striped Skunk,42.808561,-70.872211,388.0,2014-08-24,False
851630,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.4081533333,-71.3297166667,,2014-08-28,False
853291,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3885716667,-71.1498783333,,2014-08-29,False
859366,46217,Tamias striatus,Eastern Chipmunk,41.88202,-69.9957866667,,2014-09-02,False
859387,46260,Tamiasciurus hudsonicus,American Red Squirrel,41.88202,-69.9957866667,,2014-09-02,False
860060,43111,Sylvilagus floridanus,Eastern Cottontail,41.8814333333,-69.9949466667,,2014-09-03,False
860064,46260,Tamiasciurus hudsonicus,American Red Squirrel,41.8814333333,-69.9949466667,,2014-09-03,False
860119,46217,Tamias striatus,Eastern Chipmunk,41.8826533333,-69.995645,,2014-09-03,False
861579,59815,Sorex cinereus,Masked Shrew,42.0554216667,-70.105295,,2014-09-04,False
861580,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.0554216667,-70.105295,,2014-09-04,False
865631,43111,Sylvilagus floridanus,Eastern Cottontail,41.4556677381,-70.5412299847,795.0,2009-07-09,True
865669,46217,Tamias striatus,Eastern Chipmunk,41.553221,-70.608589,14905.0,2009-07-12,False
880964,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3889616667,-71.1342583333,,2014-09-17,False
883439,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3883466667,-71.1495333333,,2014-09-18,False
883440,46217,Tamias striatus,Eastern Chipmunk,42.3883466667,-71.1495333333,,2014-09-18,False
895268,43794,Castor canadensis,American Beaver,42.255522,-71.339464,4961.0,2006-11-24,False
901328,46095,Marmota monax,Groundhog,42.213771,-71.116219,309.0,2014-07-09,False
902535,42076,Urocyon cinereoargenteus,Gray Fox,42.402221,-71.128763,186.0,2013-10-12,False
903603,43111,Sylvilagus floridanus,Eastern Cottontail,42.341415966,-71.095600091,5.0,2014-09-30,False
904672,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3872833333,-71.133345,,2014-10-01,False
908815,46017,Sciurus carolinensis,Eastern Gray Squirrel,41.5003393551,-70.5231980848,795.0,2014-10-04,True
910321,46017,Sciurus carolinensis,Eastern Gray Squirrel,41.4076700138,-70.4858253281,795.0,2014-10-05,True
913685,46217,Tamias striatus,Eastern Chipmunk,41.525471,-70.661221,10.0,2014-09-22,False
914657,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.388145,-71.1491366667,,2014-10-08,False
918154,41708,Phoca vitulina,Harbor Seal,41.519536,-70.675134,,2014-10-10,False
918325,41702,Pagophilus groenlandicus,Harp Seal,41.526498,-70.673086,3557.0,1999-02-18,False
1019985,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.389105,-71.1338883333,,2014-10-15,False
1019997,42652,Didelphis virginiana,Virginia Opossum,42.389105,-71.1338883333,,2014-10-15,False
1023031,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.4285283333,-71.1886866667,,2014-10-17,False
1024451,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3442166667,-71.093575,,2014-10-18,False
1024464,43111,Sylvilagus floridanus,Eastern Cottontail,42.344027,-71.093604,5.0,2014-10-18,False
1024597,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3966416667,-71.1486833333,,2014-10-18,False
1026636,44026,Erethizon dorsatum,North American Porcupine,42.373196,-73.240452,15.0,2014-09-04,False
1039444,43794,Castor canadensis,American Beaver,42.2656842135,-72.6163421106,5.0,2014-10-26,False
1042938,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3902283333,-71.1351666667,,2014-10-28,False
1046556,41733,Halichoerus grypus,Grey Seal,41.501057,-70.698824,314.0,2014-10-30,False
1046557,41708,Phoca vitulina,Harbor Seal,41.502857,-70.701914,148.0,2014-10-30,False
1054579,41708,Phoca vitulina,Harbor Seal,41.519969,-70.675617,49.0,2014-11-04,False
1054600,41733,Halichoerus grypus,Grey Seal,41.500109,-70.702879,99.0,2014-11-04,False
1054606,41708,Phoca vitulina,Harbor Seal,41.500109,-70.702879,99.0,2014-11-04,False
1062229,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.377385,-71.118825,5.0,2014-11-08,False
1071793,41708,Phoca vitulina,Harbor Seal,41.520411,-70.676337,,2014-11-13,False
1078636,46217,Tamias striatus,Eastern Chipmunk,42.437723,-73.337173,473.0,2014-11-03,False
1102766,41708,Phoca vitulina,Harbor Seal,42.825859,-70.811939,389.0,2014-11-16,False
1120706,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.123361,-72.785338,107.0,2014-12-07,False
1120717,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.123361,-72.785338,107.0,2014-12-07,False
1127006,153411,Canis latrans thamnos,Great Lakes Coyote,42.747075,-70.799308,5407.0,2012-03-16,False
1137960,41663,Procyon lotor,Common Raccoon,42.506154,-73.316935,156.0,2014-07-20,False
1146695,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3894933333,-71.1503233333,,2014-12-26,False
1152541,46017,Sciurus carolinensis,Eastern Gray Squirrel,41.524909,-70.661064,25.0,2013-12-19,False
1180383,41733,Halichoerus grypus,Grey Seal,41.844457,-69.944335,24.0,2005-09-15,False
1181990,453109,Pekania pennanti,Fisher,42.062018,-71.110822,200.0,2015-01-16,False
1181995,42051,Canis latrans,Coyote,42.062018,-71.110822,200.0,2015-01-16,False
1199421,42223,Odocoileus virginianus,White-tailed Deer,42.497995,-70.9777133333,,2015-01-28,False
1274472,46217,Tamias striatus,Eastern Chipmunk,42.387644,-73.233341,392.0,2014-09-27,False
1278667,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.414745,-71.1559361667,,2015-03-07,False
1278915,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.404578,-71.18515,9.0,2015-03-07,False
1284937,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3996866667,-71.1831666667,,2015-03-10,False
1284964,42223,Odocoileus virginianus,White-tailed Deer,42.399044,-71.183501,42.0,2015-03-10,False
1286837,145655,Odocoileus virginianus borealis,Northern White-tailed Deer,42.43251,-71.104793,5.0,2015-03-11,False
1294373,522193,Alces alces,Moose,42.344541,-73.1332,12.0,2014-07-21,False
1296972,42223,Odocoileus virginianus,White-tailed Deer,42.387505,-73.236457,123.0,2014-12-20,False
1341530,42223,Odocoileus virginianus,White-tailed Deer,42.4025083333,-71.1847083333,,2015-03-16,False
1341532,42069,Vulpes vulpes,Red Fox,42.4058283333,-71.1707383333,,2015-03-19,False
1341533,42223,Odocoileus virginianus,White-tailed Deer,42.402395,-71.1846866667,,2015-03-16,False
1385283,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3870633333,-71.14483,,2015-04-11,False
1393106,42051,Canis latrans,Coyote,42.079063,-72.548612,,2015-03-26,False
1393107,42051,Canis latrans,Coyote,42.079063,-72.548612,,2015-03-26,False
1393239,43111,Sylvilagus floridanus,Eastern Cottontail,42.4034,-71.1911033333,,2015-04-14,False
1397080,42223,Odocoileus virginianus,White-tailed Deer,42.132319,-72.884016,508.0,2015-01-04,False
1402222,45763,Ondatra zibethicus,Muskrat,42.5080166667,-71.4949283333,,2015-04-18,False
1403352,43794,Castor canadensis,American Beaver,42.065583,-71.785993,24.0,2014-05-10,False
1403515,42223,Odocoileus virginianus,White-tailed Deer,42.064858,-71.785671,100.0,2014-05-11,False
1404006,43096,Sylvilagus,Cottontail Rabbits,41.5022113636,-70.7352939736,142.0,2015-04-18,True
1411523,43111,Sylvilagus floridanus,Eastern Cottontail,42.3999516667,-71.199625,,2015-04-21,False
1413366,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.334051,-71.648071,186.0,2015-04-16,False
1417154,44026,Erethizon dorsatum,North American Porcupine,42.372819,-73.240285,383.0,2015-04-22,False
