latitude,longitude,presence
42.37502,-71.1399471667,1
42.5777735554,-70.9925901875,0
41.9893510286,-70.7025266325,1
42.2528114167,-72.0654678333,0
42.6084716667,-71.4412783333,0
41.58343,-70.553025,1
42.4281976157,-71.28771814,0
42.4387130944,-72.9392131563,0
42.585299,-70.6925,0
42.2474033333,-71.716805,0
41.687572974,-70.3992927077,0
42.3907960207,-70.9932862223,1
42.5363925326,-71.0423800129,0
42.5016894,-71.5043728,0
42.5641572568,-71.1794251073,1
42.2523003592,-71.0004171844,0
42.4833216667,-72.3297,0
42.57016167,-70.819695,0
42.6143116667,-70.653045,0
41.66852,-70.3244866667,0
42.67681,-73.06397,0
42.2996492212,-71.1319178715,1
42.6773638004,-70.6214840075,0
42.30482833,-72.647295,0
42.5364142158,-71.1133409119,0
42.5286433333,-72.4917216667,0
42.2360194861,-71.8041733415,0
42.1293805,-71.3890133333,0
42.1155667243,-71.7897924314,0
42.4015716667,-71.3085033333,0
41.2631704335,-69.9616538509,0
41.5210433333,-71.02795,0
42.6510716667,-71.1267,0
42.6012972222,-70.812825,0
42.6620201032,-70.916697312,0
41.8810833333,-69.9950316667,1
41.4474977866,-70.6496218582,0
42.3936716667,-73.268845,0
42.08154559,-71.15505073,0
42.5599479444,-71.58358,0
41.64218,-70.24295,0
42.3827472356,-71.4839817886,1
41.456640217,-70.626262797,0
42.44688,-72.511445,0
42.51440432,-72.21301758,0
42.35647744,-73.20736205,0
42.6798051177,-72.3797242542,0
42.22459667,-71.504295,0
42.5315026158,-71.5275010474,0
42.613585,-72.461925,0
42.5585327148,-71.2248153687,0
42.2788387,-71.8068512194,0
42.4129109758,-72.5207210462,0
42.59891333,-71.68289167,0
41.9454282984,-71.2988159106,0
42.0782016713,-70.676655136,0
42.3445866667,-71.0679778333,0
41.9018083333,-71.317725,0
42.4504666667,-73.1887583333,0
42.2438316345,-71.8749084473,0
42.2068833333,-71.6212216667,0
42.2687918189,-71.8544251371,1
42.34137,-71.037572,0
42.1954996465,-71.2409445551,0
