observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
26037425,2011-04-03,42.6978958025,-72.3191859168,96.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/26037425
26121335,2019-03-24,42.4224249039,-71.5516918343,207.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/26121335
26346885,2019-05-09,42.4925541536,-71.3209542094,31.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/26346885
26831534,2019-04-28,42.1207251981,-71.2127103104,15.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/26831534
27179852,2019-06-17,42.6773619752,-70.6376611059,98.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/27179852
28506984,2019-07-09,42.5125350952,-71.3382339478,,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/28506984
30648866,2019-08-11,42.4044583333,-71.1851283333,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/30648866
30648909,2019-08-11,42.4044633333,-71.185105,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/30648909
32211520,2019-08-24,42.1286800535,-71.1994496524,31.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/32211520
35052385,2019-10-29,42.0492339693,-70.1952937525,5.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/35052385
35137415,2019-10-31,42.0610606112,-70.1725483726,65.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/35137415
35137435,2019-10-31,42.0610274594,-70.1724552959,65.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/35137435
35137448,2019-10-31,42.0607622713,-70.1727452595,10.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/35137448
35205755,2019-10-28,42.4527742824,-71.0815480368,46.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/35205755
35748985,2019-11-15,42.4526857317,-71.0816009755,46.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/35748985
36231144,2019-11-23,42.4529073827,-71.0821159572,61.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36231144
36300568,2019-12-01,42.413274641,-71.5102761157,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36300568
36439317,2019-12-07,42.45203333,-71.08245833,125.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36439317
36629393,2019-12-08,42.2801453895,-71.4514823547,31.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36629393
36753898,2019-12-18,41.76579667,-69.941955,5.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36753898
36778795,2019-12-18,41.76574667,-69.94198667,6.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36778795
36783681,2019-10-13,42.3785487672,-71.480592376,15.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36783681
36790407,2019-12-19,42.37596167,-71.49115,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36790407
36827460,2019-12-21,42.4481666667,-71.101425,,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36827460
36829064,2019-12-21,42.44822167,-71.1012945,14.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/36829064
37042407,2019-12-26,42.55316667,-72.06945833,5.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37042407
37146082,2019-12-31,42.609233051,-71.2826564415,112.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37146082
37342721,2020-01-05,42.343969964,-72.2307319161,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37342721
37403386,2020-01-08,42.1816489646,-70.8128198236,89.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37403386
37407943,2020-01-08,42.456475,-71.1242777778,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37407943
37856219,2020-01-20,42.0873417576,-70.8004368913,31.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37856219
37859632,2020-01-17,42.0872789768,-70.7997929993,61.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/37859632
38224902,2020-01-30,42.0790237235,-71.1804235177,31.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/38224902
38442636,2020-02-08,42.4152540866,-71.560338812,205.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/38442636
