latitude,longitude,presence
42.4965763841,-71.2367105484,0
41.7173919,-70.6367807997,0
41.5093264187,-71.0204212244,0
42.3937110104,-71.4387532551,0
42.72765333,-72.81445333,0
41.99308,-70.7489166667,0
42.3202205657,-71.3032386362,1
42.3288,-72.5387,1
42.1790213404,-71.9304423177,1
42.0679316905,-72.2623618831,0
41.5825843811,-70.5619354248,0
42.6189707686,-71.7129121721,0
42.0667652,-71.3281114,0
41.6458770859,-70.4575214555,0
41.8974417516,-70.0192322955,1
42.0735080494,-70.20583551,1
42.4851413041,-71.9367755959,1
42.2980324052,-72.7799013123,0
42.1033083333,-71.26178,1
42.4380291604,-71.1244887293,0
42.6101027778,-71.0901083333,0
42.4449085348,-71.596095795,0
42.0788774436,-70.2177185769,1
42.2186431885,-71.1176757813,1
42.6421898581,-71.1115523833,0
42.6464763889,-71.1264747222,0
42.6657728842,-70.8769232244,0
42.1325555,-71.0951611667,0
42.61120755,-70.6634221833,0
42.2007282678,-72.5600432373,0
42.7395052933,-70.7929400333,0
42.1541422222,-71.1547844444,1
42.3592459722,-71.0270869722,0
42.10357783,-72.59878667,0
42.2296649722,-71.8229489722,1
42.6865121454,-73.1573667983,0
42.2360194861,-71.8041733415,0
42.0194128997,-71.4871555,0
42.3582916667,-71.511305,0
42.2990416667,-71.6137416667,0
42.4022866667,-71.0895695,0
42.3769914944,-71.0984250536,0
42.2899,-71.0984416667,0
42.3140521058,-72.5971845165,0
42.0083364997,-71.3384637997,0
42.62945524,-70.76564741,0
42.4862033333,-71.1924833333,0
41.9098245733,-70.0711787681,0
42.4433583333,-71.45895,0
42.3674755,-71.2547771,1
42.2174987793,-71.0227813721,0
42.245821305,-70.7663793642,0
42.4387409939,-71.2635625458,0
42.1097385571,-71.2147581256,0
42.3071777778,-71.1206361111,0
42.6535555556,-71.3486527778,0
42.3476821,-71.2498226,0
42.2672316667,-71.6446933333,0
42.40375,-71.6667333333,0
41.74305,-70.1615528333,1
42.24295,-71.7648466667,1
42.7008802282,-72.322282099,0
42.629581378,-70.8429208516,1
42.2204083333,-70.8493583333,1
42.0781444507,-70.2207635824,1
42.1628066667,-72.8143683333,0
42.2833713132,-71.9521839917,0
42.0856671998,-70.6697339761,0
42.3952777778,-72.7327777778,1
42.0322972222,-72.3214444444,1
42.46075343,-72.55887358,0
42.58164667,-70.73577167,0
42.631215,-72.1271633333,0
41.382008,-70.667466,0
42.2664261944,-71.7866427222,0
42.6071004015,-70.6612622738,0
41.571224434,-71.0016936294,0
41.7218213976,-70.2344899716,0
42.54612,-71.4131616667,0
42.336657834,-71.1111248355,0
42.1154111667,-71.1578361667,1
42.6892751284,-73.0217151039,0
42.2065262045,-70.8867821994,1
42.4146458249,-70.989035799,0
41.3201485435,-70.8083958207,0
42.2609708997,-71.0170078,0
42.202595,-71.44953,0
42.4455861111,-71.34095,0
41.6948583333,-70.6212,1
42.1978,-73.1642083333,0
42.5469749529,-70.9033199182,0
42.38117,-71.19193,0
42.28,-70.954545,0
42.3013274997,-72.5831752997,1
42.270175,-72.197005,0
42.109189438,-71.9962597642,1
42.272183,-71.219677,0
42.6521608842,-71.2929197078,0
42.436605293,-71.0237891057,0
42.487765107,-70.9339765926,0
42.293742,-71.236714,0
42.7698412571,-70.9291813701,0
42.0697097674,-70.1954946504,1
42.3794053446,-71.5723209081,1
42.5490664187,-71.4582131831,0
41.70523747,-70.09745002,0
42.3127666667,-71.1384722222,0
42.4013178252,-71.1889026027,1
41.8855555556,-70.7508333333,0
42.4958173871,-72.3313839481,0
42.5188555336,-71.12460793,0
41.38036434,-70.73666737,0
42.3098366667,-71.7154083333,0
42.5297680419,-73.08529526,0
42.3293616667,-72.6477133333,0
42.6296683333,-72.912615,0
42.251205,-71.8250966667,1
42.0841255377,-71.0446566791,1
42.3199097269,-71.4054944233,1
42.2963232921,-71.3726516598,0
41.9547866248,-70.6563109159,1
42.707145,-70.991395,0
42.476525,-71.8946533333,0
42.00522869,-71.1246633722,0
42.342963,-71.073298,0
42.7112232039,-70.7792358152,0
42.6868988647,-70.6316685592,1
42.5347470368,-72.3108287199,0
42.6766633333,-72.1661083333,0
42.0566683822,-71.7445896473,0
42.319879,-71.405472,1
42.4756917,-72.9878737,0
42.3959533333,-71.0334166667,0
42.3020094871,-71.218209649,1
42.0786834795,-70.2204537557,1
42.564412203,-71.1797300509,1
41.9996361111,-70.0805027778,1
42.2911127825,-71.6277533663,1
42.1430321871,-71.4016192146,0
42.03715377,-71.68691179,0
41.2773208618,-70.2195587158,0
42.3554665099,-71.4403039914,0
42.260945,-72.65802,1
42.2571416667,-71.6971883333,0
42.5796890259,-72.5972747803,0
42.0429027958,-71.0500702842,0
42.4863616171,-71.3150113008,1
42.32621167,-71.56195333,1
42.0790718883,-70.2185456217,1
42.79195,-71.0682055,0
42.1799361111,-71.7084361111,0
42.3530630802,-72.5027349608,0
42.5817533333,-71.1860666667,1
42.39340568,-71.49249645,0
41.5509866667,-70.6074133333,0
42.5954383333,-70.7716216667,0
42.2688079906,-71.7731368509,0
42.4042314301,-71.1232224497,1
42.1124069079,-71.4232853895,0
42.411605144,-71.1826230213,1
42.366299,-71.265152,1
42.327,-72.54,1
42.06532,-71.142054,0
42.0789847449,-70.2189204631,1
42.330375,-70.93017,0
41.60358,-70.6345883333,1
42.2224212625,-71.9825371659,0
42.0284701213,-71.9148054935,0
42.11259717,-72.65152,1
42.2398486445,-72.0844557944,0
42.6128972222,-71.5541833333,0
42.110307435,-73.4736067057,1
42.4261081047,-71.2187377747,0
42.5459681527,-71.2741997713,0
42.4688809869,-71.4202665176,0
42.0447473597,-70.1934048906,1
42.3763283333,-71.1395945,1
42.3039569511,-71.3565342433,0
42.1273011685,-71.5180240754,0
41.9478333333,-69.9925783333,0
41.799652,-71.3397369722,0
42.7495976771,-71.0554951989,0
42.0788409696,-70.220281966,1
42.812544602,-70.9649875195,1
42.3515926659,-71.1362241501,0
42.4367711367,-72.5223509689,1
42.2151554599,-70.7374177307,0
42.5459889997,-71.0001055,0
42.26248667,-71.623725,0
41.3777949722,-70.0313799722,0
41.2556055556,-70.8318916667,0
41.3535283333,-70.4497833333,0
42.321609,-72.541024,1
42.2424883333,-72.6229166667,0
42.3949409,-71.5400876,1
42.2802182669,-71.2535531998,0
42.2431564167,-72.060585,0
42.4390886577,-71.8118026127,0
42.4196645966,-71.2107008812,0
42.1372028333,-72.8002033333,0
42.3222606645,-71.3433411813,0
42.22773,-71.15443333,0
41.3482966667,-70.6449666667,0
42.0730076443,-71.164647412,0
42.3179775351,-71.3476024639,0
42.12605,-72.7847283333,1
41.6412409869,-70.5605252087,0
42.208487631,-73.3745755255,1
42.2072914997,-70.8705183,0
42.0788177197,-70.22115043,1
42.2331363832,-71.2431220458,0
42.219525,-72.957205,0
41.485230488,-71.0410769667,0
42.3504,-71.08257217,0
42.1805185488,-71.216197814,1
42.63325,-71.50146,0
42.492613,-71.042864,0
42.6094723848,-72.5071105971,0
42.0781036738,-70.2211596222,1
42.264974,-72.8853869722,0
42.2058833333,-73.2874166667,0
