latitude,longitude,presence,forest_fraction_250m,forest_fraction_1000m,wetland_fraction_250m,wetland_fraction_1000m,developed_fraction_250m,developed_fraction_1000m,open_water_fraction_250m,open_water_fraction_1000m,mean_impervious_250m,mean_impervious_1000m,elevation_m,mean_slope_250m,mean_slope_1000m,terrain_ruggedness_1000m,distance_to_water_m,distance_to_road_m
42.5594966667,-72.713905,0,0.8687782805429864,0.8054208273894436,0.004524886877828055,0.021968616262482168,0.058823529411764705,0.08017118402282454,0.0,0.0,0.5475113122171946,0.8630527817403709,242.1602783203125,4.037756975975821,5.762393554082656,40.56472881839234,808.0147668225018,190.06669602757088
42.2824655588,-71.1732385756,1,0.0,0.026248216833095576,0.3574660633484163,0.1369472182596291,0.6380090497737556,0.7880171184022825,0.004524886877828055,0.04507845934379458,28.547511312217196,37.09243937232525,29.27839469909668,0.8630728637426051,1.148266595161015,4.612466227921238,0.0,123.42108471505496
42.1495116795,-71.4282979894,1,0.15384615384615385,0.19315263908701855,0.15384615384615385,0.09900142653352353,0.5429864253393665,0.6639087018544936,0.07239819004524888,0.00456490727532097,10.144796380090497,15.29243937232525,59.83251953125,1.0315332216464874,1.282096138873759,7.620595728607003,0.0,152.76772715593177
42.3420219092,-72.5287439263,1,0.0,0.10784593437945791,0.00904977375565611,0.09557774607703282,0.7692307692307693,0.6641940085592012,0.0,0.0,5.610859728506787,12.779172610556348,43.711151123046875,0.6644267228401245,0.8527047834208268,4.059860932560391,0.0,196.07318350296478
42.5257027941,-72.1838541795,0,0.40271493212669685,0.705848787446505,0.08144796380090498,0.11697574893009986,0.2579185520361991,0.07874465049928674,0.0,0.0005706134094151213,2.425339366515837,1.3977175463623395,353.2486572265625,2.735641574130764,3.005406769015954,17.501666497743123,202.53959666415204,0.904436142497319
42.2859722712,-72.3405889794,1,0.33031674208144796,0.4385164051355207,0.0,0.08873038516405135,0.13122171945701358,0.06362339514978602,0.334841628959276,0.3500713266761769,2.171945701357466,1.0864479315263909,160.55442810058594,3.126472908411288,3.3713210551207102,24.825040760415096,26.101464689635634,4.061187870341487
42.44380333,-71.39482167,0,0.3574660633484163,0.21255349500713266,0.2579185520361991,0.20142653352353782,0.38461538461538464,0.566904422253923,0.0,0.00456490727532097,6.171945701357466,9.389158345221112,46.77738571166992,1.4626846937851907,1.3202091795053228,6.748844984449664,121.55960466775008,120.01137185740524
42.48165,-71.1520695,0,0.0,0.0,0.0,0.015691868758915834,1.0,0.9843081312410842,0.0,0.0,71.45701357466064,46.06904422253923,30.93806266784668,0.8952870220300115,1.4550291720002093,6.635217829951873,790.7842564540465,46.92077670602691
42.0680348509,-71.1523120116,1,0.2171945701357466,0.5457917261055635,0.3891402714932127,0.23081312410841653,0.0,0.03166904422253923,0.2171945701357466,0.08644793152639087,0.0,0.4596291012838802,62.522300720214844,0.36353533309855923,0.9520346981106702,5.73170633904846,0.0,632.0698066908076
42.47145,-71.1706083333,1,0.27149321266968324,0.1449358059914408,0.36199095022624433,0.06134094151212553,0.3167420814479638,0.7417974322396577,0.049773755656108594,0.0456490727532097,9.470588235294118,24.690156918687588,17.645402908325195,1.5080827621402964,1.6937050343040467,7.40460169912082,15.044174808209672,204.51654649744336
42.5341327357,-72.5462097275,0,0.7375565610859729,0.5731811697574893,0.0,0.054778887303851644,0.18099547511312217,0.15606276747503567,0.0,0.0,1.5656108597285068,2.4485021398002855,102.87728881835938,4.613428444690965,4.303744066801534,32.40111123927512,153.00660012542764,5.58452202609455
42.5063888889,-70.8831777778,0,0.0,0.0025677603423680455,0.0,0.0019971469329529245,0.497737556561086,0.4912981455064194,0.4751131221719457,0.5024251069900143,12.276018099547512,23.927817403708985,1.558005928993225,0.9270202694115454,1.0368602108473806,5.3631942158667885,42.6436088873885,303.4687987992626
42.5884868985,-71.1123722792,0,0.03167420814479638,0.047075606276747506,0.0,0.150641940085592,0.9683257918552036,0.795435092724679,0.0,0.0068473609129814554,21.56561085972851,19.601426533523536,36.37959289550781,1.335939674176854,1.1372459324528414,6.729042123648691,363.9175561726864,26.893524658326985
